unit_id,centroid_lat,centroid_lon,nearest_library,library_lat,library_lon,distance_km,time_min,method
grid_R046_C031,23.298537287094085,120.3303161270806,柳營區圖書館,23.27839,120.311527,4.6983999999999995,9.371666666666666,osrm_driving
grid_R046_C032,23.298578728447183,120.34009202827043,新營文化中心圖書館,23.308579,120.315842,4.8531,9.675,osrm_driving
grid_R046_C033,23.2986195604939,120.3498679517699,柳營區圖書館,23.27839,120.311527,6.2335,9.78,osrm_driving
grid_R046_C034,23.298659783228675,120.35964389724852,東山區圖書館,23.326158,120.404169,7.004,11.478333333333332,osrm_driving
grid_R046_C035,23.29869939664601,120.36941986437594,東山區圖書館,23.326158,120.404169,6.0537,9.675,osrm_driving
grid_R046_C036,23.298738400740515,120.37919585282172,東山區圖書館,23.326158,120.404169,4.9523,6.911666666666666,osrm_driving
grid_R046_C037,23.298776795506868,120.3889718622554,東山區圖書館,23.326158,120.404169,3.792,5.13,osrm_driving
grid_R046_C038,23.298814580939833,120.39874789234658,東山區圖書館,23.326158,120.404169,4.3564,7.211666666666667,osrm_driving
grid_R046_C039,23.298851757034253,120.40852394276476,白河區圖書館,23.353425,120.414315,11.0304,10.82,osrm_driving
grid_R046_C040,23.298888323785068,120.41830001317962,東山區圖書館,23.326158,120.404169,3.9692,6.036666666666666,osrm_driving
grid_R046_C041,23.298924281187286,120.4280761032606,東山區圖書館,23.326158,120.404169,4.8831999999999995,8.588333333333333,osrm_driving
grid_R046_C042,23.29895962923601,120.4378522126773,東山區圖書館,23.326158,120.404169,5.749,8.841666666666667,osrm_driving
grid_R046_C043,23.298994367926415,120.44762834109927,東山區圖書館,23.326158,120.404169,6.601100000000001,10.116666666666667,osrm_driving
grid_R046_C044,23.29902849725376,120.45740448819603,東山區圖書館,23.326158,120.404169,7.7909,12.246666666666666,osrm_driving
grid_R046_C045,23.2990620172134,120.46718065363714,東山區圖書館,23.326158,120.404169,12.6475,28.668333333333333,osrm_driving
grid_R046_C046,23.299094927800756,120.47695683709216,東山區圖書館,23.326158,120.404169,13.5534,32.21666666666667,osrm_driving
grid_R046_C047,23.299127229011344,120.48673303823055,白河區圖書館,23.353425,120.414315,13.6956,26.965,osrm_driving
grid_R046_C048,23.29915892084076,120.49650925672194,東山區圖書館,23.326158,120.404169,15.7166,27.22,osrm_driving
grid_R046_C049,23.29919000328469,120.50628549223576,白河區圖書館,23.353425,120.414315,20.9391,27.165000000000003,osrm_driving
grid_R046_C050,23.29922047633888,120.51606174444156,東山區圖書館,23.326158,120.404169,19.6353,33.291666666666664,osrm_driving
grid_R046_C051,23.29925033999918,120.52583801300892,東山區圖書館,23.326158,120.404169,21.1195,42.18333333333333,osrm_driving
grid_R047_C008,23.306445266632103,120.10541693699103,北門區圖書館,23.270354,120.124891,7.4909,9.39,osrm_driving
grid_R047_C009,23.306500744278175,120.11519289349523,北門區圖書館,23.270354,120.124891,7.292800000000001,9.093333333333334,osrm_driving
grid_R047_C010,23.306555612505505,120.12496887991624,北門區圖書館,23.270354,120.124891,7.3102,10.648333333333332,osrm_driving
grid_R047_C011,23.306609871306613,120.13474489592365,北門區圖書館,23.270354,120.124891,5.8052,9.188333333333333,osrm_driving
grid_R047_C012,23.306663520674103,120.14452094118708,北門區圖書館,23.270354,120.124891,4.9144,5.568333333333333,osrm_driving
grid_R047_C013,23.30671656060066,120.15429701537605,北門區圖書館,23.270354,120.124891,5.899,6.056666666666667,osrm_driving
grid_R047_C014,23.306768991079046,120.1640731181602,北門區圖書館,23.270354,120.124891,8.242799999999999,10.663333333333332,osrm_driving
grid_R047_C015,23.306820812102107,120.17384924920913,北門區圖書館,23.270354,120.124891,9.1427,12.823333333333332,osrm_driving
grid_R047_C020,23.307070775143316,120.22273031685994,鹽水區圖書館,23.316355,120.2664,10.1286,12.268333333333334,osrm_driving
grid_R047_C021,23.307118939289023,120.23250661055825,鹽水區圖書館,23.316355,120.2664,4.464899999999999,9.53,osrm_driving
grid_R047_C022,23.307166493931685,120.24228293020822,鹽水區圖書館,23.316355,120.2664,3.4376,6.0600000000000005,osrm_driving
grid_R047_C023,23.30721343906483,120.2520592754794,鹽水區圖書館,23.316355,120.2664,2.2058,5.566666666666666,osrm_driving
grid_R047_C024,23.307259774682063,120.26183564604128,鹽水區圖書館,23.316355,120.2664,1.1654,1.82,osrm_driving
grid_R047_C025,23.307305500777055,120.27161204156344,新營區圖書館,23.2952,120.273886,1.4137,1.6583333333333334,osrm_driving
grid_R047_C026,23.30735061734358,120.2813884617154,鹽水區圖書館,23.316355,120.2664,2.1687,3.88,osrm_driving
grid_R047_C027,23.30739512437548,120.29116490616664,新營區圖書館,23.2952,120.273886,4.6393,7.171666666666667,osrm_driving
grid_R047_C028,23.307439021866685,120.30094137458669,新營文化中心圖書館,23.308579,120.315842,2.0247,3.911666666666666,osrm_driving
grid_R047_C029,23.30748230981121,120.31071786664504,新營文化中心圖書館,23.308579,120.315842,0.7394,1.66,osrm_driving
grid_R047_C030,23.30752498820316,120.32049438201122,新營文化中心圖書館,23.308579,120.315842,0.6012000000000001,1.115,osrm_driving
grid_R047_C031,23.3075670570367,120.3302709203547,新營文化中心圖書館,23.308579,120.315842,1.9642,3.671666666666667,osrm_driving
grid_R047_C032,23.307608516306107,120.34004748134502,新營文化中心圖書館,23.308579,120.315842,3.7764,7.025,osrm_driving
grid_R047_C033,23.307649366005727,120.34982406465164,新營文化中心圖書館,23.308579,120.315842,3.8743,6.613333333333333,osrm_driving
grid_R047_C034,23.307689606129983,120.35960066994404,新營文化中心圖書館,23.308579,120.315842,4.9544,8.113333333333333,osrm_driving
grid_R047_C035,23.307729236673385,120.3693772968917,東山區圖書館,23.326158,120.404169,5.3179,9.768333333333334,osrm_driving
grid_R047_C036,23.307768257630546,120.37915394516412,東山區圖書館,23.326158,120.404169,3.7601,6.956666666666666,osrm_driving
grid_R047_C037,23.30780666899612,120.38893061443072,東山區圖書館,23.326158,120.404169,3.8981,8.27,osrm_driving
grid_R047_C038,23.30784447076489,120.39870730436104,東山區圖書館,23.326158,120.404169,2.3916999999999997,3.81,osrm_driving
grid_R047_C039,23.30788166293169,120.40848401462448,東山區圖書館,23.326158,120.404169,2.4141999999999997,4.145,osrm_driving
grid_R047_C040,23.30791824549145,120.41826074489056,東山區圖書館,23.326158,120.404169,3.5914,7.288333333333333,osrm_driving
grid_R047_C041,23.307954218439185,120.4280374948287,東山區圖書館,23.326158,120.404169,4.1543,9.103333333333332,osrm_driving
grid_R047_C042,23.307989581769984,120.43781426410834,東山區圖書館,23.326158,120.404169,4.7157,7.291666666666667,osrm_driving
grid_R047_C043,23.30802433547903,120.44759105239896,白河區圖書館,23.353425,120.414315,8.3206,14.823333333333332,osrm_driving
grid_R047_C044,23.30805847956158,120.45736785936997,白河區圖書館,23.353425,120.414315,9.3287,14.686666666666667,osrm_driving
grid_R047_C045,23.308092014012978,120.46714468469082,白河區圖書館,23.353425,120.414315,10.9957,17.813333333333333,osrm_driving
grid_R047_C046,23.30812493882865,120.476921528031,白河區圖書館,23.353425,120.414315,12.7971,23.358333333333334,osrm_driving
grid_R047_C047,23.308157254004108,120.48669838905984,白河區圖書館,23.353425,120.414315,13.7327,21.495,osrm_driving
grid_R047_C048,23.30818895953495,120.49647526744688,白河區圖書館,23.353425,120.414315,18.9088,25.861666666666668,osrm_driving
